Question,Answer
"Q: Can COVID-19 be transmitted through human cells, tissues, or cellular and tissue-based products (HCT/Ps)?","<div>
<p>A: Respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue-based products (HCT/Ps). The potential for transmission of COVID-19 by HCT/Ps is unknown at this time. There have been no reported cases of transmission of COVID-19 via HCT/Ps.</p>
<p>Routine screening measures are already in place for evaluating clinical evidence of infection in HCT/P donors. <a href=""https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/important-information-human-cell-tissue-or-cellular-or-tissue-based-product-hctp-establishments"">Read more…</a></p>
<p>
</p></div>"
Q: What is convalescent plasma and why is it being investigated to treat COVID-19?,"<div>
<p>A: Convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel coronavirus disease, COVID-19, caused by the virus SARS-CoV-2. COVID-19 patients develop antibodies in the blood against the virus. Antibodies are proteins  that might help fight the infection. Convalescent plasma is being investigated for the treatment of COVID-19 because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from COVID-19. Further investigation is still necessary to determine if convalescent plasma might shorten the duration of illness, reduce morbidity, or prevent death associated with COVID-19.</p>
<p>
</p></div>"
"Q: I recently recovered from COVID-19, can I donate convalescent plasma? ","<div>
			   

<p>A: COVID-19 convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. Individuals must have had a prior diagnosis of COVID-19 documented by a laboratory test and meet other laboratory criteria. Individuals must have fully recovered from COVID-19, with complete resolution of symptoms for at least 14 days before donation of convalescent plasma. You can ask your local blood center if there are options to donate convalescent plasma in your area. FDA included contact information for blood organizations in its March 19, 2020 <a href=""https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-blood-donations"">statement on blood donations</a>.</p>
<p>
</p></div>"
Q: Are there any FDA-approved drug products or medicines to treat COVID-19?,"<div>
<p>A: At this time, there are no FDA-approved drug products to treat COVID-19. <a href=""https://reaganudall.org/covid-19"">The FDA is working with drug manufacturers and investigational new drug sponsors to expedite the development and availability of COVID-19 treatments</a>. <a href=""https://www.fda.gov/drugs/coronavirus-covid-19-drugs/coronavirus-treatment-acceleration-program-ctap"">Read more</a> about FDA’s actions to address the novel coronavirus with medical countermeasures and learn how the <a href=""https://www.sentinelinitiative.org/drugs/fda-sentinel-system-coronavirus-covid-19-activities"">FDA’s Sentinel System</a> is being used to monitor the use of drugs, describe the course of illness among hospitalized patients, and evaluate the treatment impact of therapies actively being used under real-world conditions.</p>
<p>Researchers are studying new drugs and drugs that are already approved for other health conditions as possible treatments for COVID-19. CDC has <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/therapeutic-options.html"">more information for health care providers</a> about these potential treatments.</p>
<p>
</p></div>"
Q: Are antibiotics effective in preventing or treating COVID-19?,"<div>
<p>A: No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat coronavirus disease (COVID-19), because COVID-19 is caused by a virus, not bacteria. Some patients with COVID-19 may also develop a bacterial infection, such as pneumonia. In that case, a health care professional may treat the bacterial infection with an antibiotic.</p>
<p>
</p></div>"
Q. Will Miracle Mineral Solution (MMS) cure COVID-19?,"<div>
<p>A:  No. Miracle Mineral Solution does not cure COVID-19 and has not been approved by the FDA for any use. The solution, when mixed, develops into a dangerous bleach which has caused serious and potentially life-threatening side effects. For more information, see: <a href=""https://www.fda.gov/news-events/press-announcements/fda-warns-consumers-about-dangerous-and-potentially-life-threatening-side-effects-miracle-mineral"">FDA warns consumers about the dangerous and potentially life threatening side effects of Miracle Mineral Solution</a> and <a href=""https://www.fda.gov/consumers/consumer-updates/danger-dont-drink-miracle-mineral-solution-or-similar-products"">Danger: Don’t Drink Miracle Mineral Solution or Similar Products</a>. </p>
<p>
</p></div>"
Q: Are chloroquine phosphate or hydroxychloroquine sulfate approved by the FDA to treat COVID-19?,"<div>
<p>A: No. Hydroxychloroquine sulfate and some versions of chloroquine phosphate are FDA-approved to treat malaria. Hydroxychloroquine sulfate is also FDA-approved to treat lupus and rheumatoid arthritis.</p>
<p>In a <a href=""https://www.fda.gov/drugs/drug-safety-and-availability/fda-cautions-against-use-hydroxychloroquine-or-chloroquine-covid-19-outside-hospital-setting-or"">Drug Safety Communication</a>, the FDA cautions against the use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to the risk of heart rhythm problems. <a href=""https://www.fda.gov/media/136784/download"">Read more about the emergency use authorization for chloroquine phosphate and hydroxychloroquine sulfate for COVID-19</a>.</p>
<p>
</p></div>"
Q: May health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off-label to treat patients with COVID-19?,"<div>
<p>A: As mentioned above, chloroquine phosphate is only approved for the treatment of malaria, and hydroxychloroquine sulfate is only approved for the treatment of malaria, lupus, and rheumatoid arthritis. Once FDA has approved a drug, health care providers generally may prescribe or administer the drug for an unapproved use, including in clinical settings not described in the approved labeling. This decision will be based on their assessment of the potential benefits versus the risks for their patient, recognizing that FDA has not assessed the safety or effectiveness of such use. In a <a href=""https://www.fda.gov/drugs/drug-safety-and-availability/fda-cautions-against-use-hydroxychloroquine-or-chloroquine-covid-19-outside-hospital-setting-or"">Drug Safety Communication</a>, the FDA cautions against the use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to the risk of heart rhythm problems.</p>
<p>
</p></div>"
Q: Are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with COVID-19?,"<div>
<p>A: In the lab, these drugs have been shown to prevent the growth of the virus that causes COVID-19. There are a few reports of patients with COVID-19 who received these drugs and improved. Some are reports of groups of patients, all of whom received the drug. It is not known whether it was the drug that led to the improvement or whether there were other factors involved. We do not know if the treated patients’ condition would have improved without the drug. To know this, there would have to be a group of similar patients who did not receive the drug (control).</p>
<p>Because chloroquine phosphate and hydroxychloroquine may possibly help very sick patients, FDA is allowing these drugs to be provided to certain hospitalized patients under an <a href=""https://www.fda.gov/emergency-preparedness-and-response/mcm-legal-regulatory-and-policy-framework/emergency-use-authorization#covidtherapeutics"">Emergency Use Authorization (EUA) issued March 28, 2020</a>. Under the EUA, health care providers and patients are provided with information about the risks of these drugs. However, more data from clinical trials are necessary for us to determine whether chloroquine phosphate or hydroxychloroquine sulfate are safe and effective in treating or preventing COVID-19. In a <a href=""https://www.fda.gov/drugs/drug-safety-and-availability/fda-cautions-against-use-hydroxychloroquine-or-chloroquine-covid-19-outside-hospital-setting-or"">Drug Safety Communication</a>, the FDA cautions against the use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to the risk of heart rhythm problems.</p>
<p>
</p></div>"
Q. Is the chloroquine phosphate used to treat disease in aquarium fish the same as the chloroquine phosphate that FDA has issued an emergency use authorization for as a COVID-19 treatment for humans?,"<div>
<p>A. No. Products marketed for veterinary use, “for research only,” or otherwise not for human consumption have not been evaluated for safety or effectiveness and <strong>should never be used by humans</strong>. FDA is aware that chloroquine phosphate is marketed to treat disease in aquarium fish, but these products have not been evaluated by FDA to determine if they are safe, effective, properly manufactured, and adequately labeled. The agency continues to work with online marketplaces to remove these items, and many have been removed based on these efforts. Patients should not take any form of chloroquine unless it has been prescribed by a licensed health care provider. Chloroquine products also should not be given to pets or livestock unless prescribed by a veterinarian. </p>
<p>
</p></div>"
Q: Should I take ivermectin to prevent or treat COVID-19?,"<div>
<p>A: No. While there are approved uses for ivermectin in people and animals, it is not approved for the prevention or treatment of COVID-19. You should not take any medicine to treat or prevent COVID-19 unless it has been prescribed to you by your health care provider and acquired from a legitimate source. </p>
<p>A recently released <a href=""https://www.sciencedirect.com/science/article/pii/S0166354220302011"">research article</a> described the effect of ivermectin on SARS-CoV-2 in a laboratory setting. These types of laboratory studies are commonly used at an early stage of drug development. Additional testing is needed to determine whether ivermectin might be appropriate to prevent or treat coronavirus or COVID-19. <a href=""https://www.fda.gov/animal-veterinary/product-safety-information/faq-covid-19-and-ivermectin-intended-animals"">Read more about ivermectin</a>.</p>
<p>
</p></div>"
Q: What is the FDA doing to protect people from fraudulent COVID-19 products?,"<div>
<p>A: We have established a cross-agency task force dedicated to closely monitoring for fraudulent COVID-19 products. We have reached out to major retailers to ask for their help in monitoring online marketplaces for fraudulent COVID-19 products. Products sold are subject to FDA investigation and potential enforcement action if they claim to prevent, diagnose, treat, or cure COVID-19 and have not demonstrated safety and effectiveness for that intended use. The task force has already worked with retailers to remove dozens of these types of product listings online. </p>
<p>The FDA and the Federal Trade Commission (FTC) issue warning letters to companies that violate federal law and pose significant risks to patient health by selling unapproved products with fraudulent claims to treat or prevent COVID-19. <a href=""https://www.fda.gov/consumers/health-fraud-scams/fraudulent-coronavirus-disease-2019-covid-19-products#Warning%20Letter%20Table"">View the warning letters</a> for more information.</p>
<p>
</p></div>"
Q: Are there going to be drug shortages due to drug manufacturer facility closures in China?,"<div>
<p>A:  The FDA has been closely monitoring the supply chain with the expectation that the COVID-19 outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the U.S. </p>
<p>We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly and mitigate the impact to U.S. patients and health care professionals when a potential disruption or shortage is identified.</p>
<p>Find <a href=""https://www.accessdata.fda.gov/scripts/drugshortages/default.cfm"">real-time information</a> about drug shortages.</p>
<p>Learn more in our <a href=""https://www.fda.gov/drugs/drug-shortages/frequently-asked-questions-about-drug-shortages"">drug shortages frequently asked questions</a>. </p>
<p>
</p></div>"
Q:  Am I at risk for COVID-19 from taking FDA-approved drugs made in China?,"<div>
<p>A: Currently, there is no evidence to support transmission of COVID-19 associated with imported goods, including food and drugs for humans and pets. There have not been any cases of COVID-19 in the United States associated with imported goods.</p>
<p>
</p></div>"
Q: Who should I contact with drug-related questions?,"<div>
<p>A: If you have additional questions, call FDA’s Division of Drug Information at (855) 543-3784 or email us at <a href=""mailto:druginfo@fda.hhs.gov"">druginfo@fda.hhs.gov</a>. </p>
<p>
</p></div>"
Q: Is there a test for COVID-19?,"<div>
<p>A: Yes, there are tests for COVID-19. Though there is currently no FDA-approved or cleared test for COVID-19, the FDA has issued several Emergency Use Authorizations (EUAs). During public health emergencies declared under section 564 of the FD&amp;C Act, the FDA is able to issue EUAs when certain criteria are met that allows for the use and distribution of potentially life-saving medical products to diagnose, treat, or prevent the disease, which can include diagnostic tests. For more information, please see <a href=""https://www.fda.gov/medical-devices/emergency-situations-medical-devices/emergency-use-authorizations#covid19ivd"">In Vitro Diagnostic EUAs</a>.</p>
<p>
</p></div>"
Q. How are people tested for COVID-19?,"<div>
<p>A. To be tested for COVID-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals. Currently, a health care professional swabbing the back of the nasal cavity through the nostril is the preferred choice. Alternatively, the health care professional may swab the back of your throat, or for patients with symptoms of COVID-19, the inside of the front of the nose. Depending on, among other things, the type of swab used, a health care professional may collect the sample, or you may be able to collect the sample yourself at the collection site under the supervision of health care personnel. Testing of the sample is performed in a laboratory on the prescription or order of a health care professional.  </p>
<p>
</p></div>"
Q: Are there any tests that I can purchase to test myself at home for COVID-19?,"<div>
<p>A: At this time, the FDA has not authorized any COVID-19 test to be completely used and processed at home. However, on April 20, 2020, the FDA authorized the <a href=""https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-authorizes-first-test-patient-home-sample-collection"">first COVID-19 test for home collection of samples</a> to be sent to a laboratory for processing and test reporting. Please note that this authorization is specific only to the test that has been issued the Emergency Use Authorization (EUA), which has a home collection option (<a href=""https://www.fda.gov/media/136148/download"">LabCorp’s COVID-19 RT-PCR Test</a>). Any COVID-19 test intended for at-home testing, including self-collection of a sample at home, with or without the use of telemedicine, must be authorized by the FDA. The FDA sees the public health value in expanding the availability of COVID-19 testing through safe and accurate tests that may include home collection, and we are actively working with test developers in this space. You can find listings of tests that have have been issued an EUA on the <a href=""https://www.fda.gov/emergency-preparedness-and-response/mcm-legal-regulatory-and-policy-framework/emergency-use-authorization"">Emergency Use Authorizations</a> page.</p>
<p>The FDA is supportive of at-home testing for COVID-19 if there is data and science to support consumer safety and test accuracy. We are actively working with developers on EUAs for at-home tests that demonstrate appropriate validation. Home collection raises several issues of importance, including whether the lay user can safely and properly collect the sample, whether the components of the test kit are safe for use in the home environment (since some components may be toxic), proper shipment, and stability of the sample (such as, if the sample sits in a hot truck). A physician watching the collection via telemedicine may address the issue of sample collection (if the self-collection method does not raise safety concerns), but telemedicine does not address these other issues.</p>
<p>
</p></div>"
Q: When will other diagnostic tests for COVID-19 be authorized?,"<div>
<p>A: The FDA is actively working with test developers and issues Emergency Use Authorizations (EUAs) frequently for EUA requests with sufficient supporting data.</p>
<p>
</p></div>"
Q: What is the difference between the types of tests available for SARS-CoV-2?,"<div>
<p>A: There are currently two types of tests available for SARS-CoV-2, the virus that causes COVID-19. Molecular tests detect the virus and can be used to directly diagnose COVID-19 and antibody tests detect the body’s immune response to the infection caused by the virus but cannot be used to definitively diagnose or exclude COVID-19. Currently, molecular tests are the only type of tests that can be used alone to diagnose COVID-19. Antibody tests cannot be used alone to rule out COVID-19.</p>
<ol><li>Molecular Tests: “Nucleic acid amplification tests,” or “NAAT” tests are molecular tests that detect the virus’s genetic material. FDA has issued Emergency Use Authorizations (EUA) for dozens of molecular tests. Based on current data, we believe these EUA-authorized tests are highly accurate tests.</li>
<li>Antibody Tests: Antibody (or serology) tests detect antibodies in the blood when the body is fighting an infection. The test does not detect the actual virus; rather, it detects the body’s immune response to the virus. In the early days of an infection, antibodies may not be detected, limiting the effectiveness of an antibody test. This type of test may also be falsely positive if antibodies to a coronavirus other than the pandemic novel strain are present. Because of this potential for false negative and false positive results, an antibody test should not be used alone to diagnose COVID-19. FDA has also issued EUAs for serology tests to detect SARS-CoV-2 antibodies. More information on serology tests can be found in the Serology section of FAQs on Diagnostic Testing for SARS-CoV-2.</li>
</ol><p>
</p></div>"
"Q: If antibody tests are not used for diagnosis or exclusion of SARS-CoV-2 infection, what is their purpose?","<div>
<p>A: Antibody tests cannot be used alone to rule out COVID-19. However, they can serve an important role. Using antibody tests on many patients may help the medical community better understand the immune response in patients over time and how many people may have been infected. In the future, it is also possible that they may also be used to help determine, together with other clinical data, that some individuals are no longer susceptible to infection. In addition, these test results can aid in determining who may donate a part of their blood called convalescent plasma, which may serve as a possible treatment for those who are seriously ill from COVID-19.</p>
<p>
</p></div>"
Q: Should I purchase personal protective equipment such as facemasks or N95 respirators for me and my family? ,"<div>
<p>A: No. <a href=""https://www.fda.gov/medical-devices/personal-protective-equipment-infection-control/n95-respirators-and-surgical-masks-face-masks"">Surgical masks and N95s</a> need to be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19. The cloth face coverings recommended by CDC are not surgical masks or N95 respirators. Surgical masks and N95s  are critical supplies that must continue to be reserved for health care workers and other medical first responders, as recommended by CDC.</p>
<p>
</p></div>"
"Q: Is there a shortage of personal protective equipment (PPE) such as gloves, masks, and N95 respirators or of ventilators?","<div>
<p>A:  The FDA has been working closely with PPE and ventilator manufacturers to understand their supply capabilities during this pandemic. The agency is also aware of challenges throughout the supply chain that are presently impacting the availability of PPE products and is taking steps to mitigate shortages that health care facilities are already experiencing. </p>
<p>The FDA <a href=""https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-continues-facilitate-access-crucial-medical-products-including"">issued new guidance</a> to give ventilator manufacturers and non-medical device manufacturers more flexibility to start making new ventilators and parts. We <a href=""https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-takes-action-increase-us-supplies-through-instructions-ppe-and"">adjusted our screening of PPE  and medical devices</a> at U.S. ports of entry to expedite imports of legitimate products into the U.S. With CDC we <a href=""https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-and-cdc-take-action-increase-access-respirators-including-n95s"">took action</a> to make more respirators, including certain N95s, available to health care personnel for use in health care settings.</p>
<p>The FDA encourages manufacturers and health care facilities to report any supply disruptions to the device shortages mailbox at <a href=""mailto:deviceshortages@fda.hhs.gov"">deviceshortages@fda.hhs.gov</a>.<br/><br/></p></div>"
Q. Can 3D printing be used to make PPE?,"<div>
<p>A. Personal protective equipment (PPE) includes protective clothing, gowns, gloves, face shields, goggles, face masks, and respirators or other equipment designed to protect the wearer from injury or the spread of infection or illness. While it is possible to use 3D printing to make certain PPE, there are technical challenges. 3D-printed PPE may provide a physical barrier, but 3D-printed PPE are unlikely to provide the same fluid barrier and air filtration protection as FDA-cleared surgical masks and N95 respirators. The CDC has recommendations for how to <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/ppe-strategy/face-masks.html"">optimize the supply of face masks</a>. Find more information in the <a href=""https://www.fda.gov/medical-devices/3d-printing-medical-devices/faqs-3d-printing-medical-devices-accessories-components-and-parts-during-covid-19-pandemic"">FDA guidance</a>.</p>
<p>
</p></div>"
Q. I built a DIY ventilator using instructions I found on the internet. May I sell it?,"<div>
<p>A. DIY ventilator makers may request that their product be added to the  Emergency Use Authorization (EUA) that FDA issued on March 24, 2020, to legally market the product in the U.S. Instructions on how to do so, and the criteria for ventilator safety, performance and labeling, may be found in the <a href=""https://www.fda.gov/medical-devices/emergency-situations-medical-devices/emergency-use-authorizations#covid19ventilators"">Letter of Authorization and Appendix A for the EUA</a> related to ventilators, anesthesia gas machines modified for use as ventilators, positive pressure breathing devices modified for use as ventilators, ventilator tubing connectors, and ventilator accessories.</p>
<p>
</p></div>"
