Question,Answer
Q: How do I know if I’m an essential worker during the COVID-19 pandemic?,"<div>
<p>A: Critical infrastructure industries, including many FDA-regulated industries such as food, drugs, and medical equipment, have a special responsibility in these times to continue operations. On March 19, 2020, the Department of Homeland Security (DHS) Cybersecurity &amp; Infrastructure Agency (CISA) issued <a href=""https://www.cisa.gov/identifying-critical-infrastructure-during-covid-19"">guidance on defining essential workers</a>. This guidance offers an initial baseline for governments and industry to use when identifying key groups of employees during COVID-19 response. This guidance is not binding and serves as a starting point for local and state governments. View more <a href=""https://www.cisa.gov/identifying-critical-infrastructure-during-covid-19"">frequently asked questions</a> from CISA.</p>
<p>
</p></div>"
Q: Who should I contact with questions about essential employees or FDA-regulated products traveling through areas with curfews and restrictions because of the coronavirus?,"<div>
<p>A: If you are experiencing issues with your supply chain, delivery of goods, or business continuity, please contact: <a href=""mailto:CISA.CAT@cisa.dhs.gov"">CISA.CAT@cisa.dhs.gov</a>.</p>
<p>
</p></div>"
Q: What is a biological medical product or a biologic?,"<div>
<p>A: Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues.</p>
<p>
</p></div>"
Q: Are there any vaccines or other medical products to prevent COVID-19?,"<div>
<p>A: At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19). The FDA is working with vaccine developers and other researchers and manufacturers to help expedite the development and availability of medical products such as vaccines, antibodies, and drugs to prevent COVID-19. <a href=""/emergency-preparedness-and-response/counterterrorism-and-emerging-threats/coronavirus-disease-2019-covid-19"">Read more</a> about what FDA is doing to mitigate the effects of COVID-19.</p>
<p>
</p></div>"
Q: Does COVID-19 present a risk to the safety of the nation’s blood supply?,"<div>
<p>A: In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.</p>
<p>
</p></div>"
"Q: Can SARS-CoV-2, the virus that causes COVID-19, be transmitted by blood transfusion?","<div>
			 

<p>A: In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.</p>
<p>
</p></div>"
"Q: What steps are being taken to protect the U.S. blood supply from SARS-CoV-2, the virus that causes COVID-19?","<div>
			 

<p>A: Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. For example, blood donors must be in good health and have a normal temperature on the day of donation.</p>
<p>Donors are instructed to contact the donor center if they become ill after donation, so that their blood or plasma will not be used. Even when a donor develops COVID-19 after donation, however, there have been no cases of COVID-19 linked to donor blood or products made from blood.   </p>
<p>FDA has provided <a href=""/vaccines-blood-biologics/safety-availability-biologics/important-information-blood-establishments-regarding-novel-coronavirus-outbreak"">additional information to blood establishments</a> on its website. </p>
<p>
</p></div>"
Q: Why aren’t blood centers testing donors for SARS-CoV-2?,"<div>
			 

<p>A:  At this time, the FDA does not recommend using laboratory tests to screen blood. Someone who has symptoms of COVID-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. </p>
<p>
</p></div>"
Q: Is it safe for me to donate blood during the coronavirus pandemic?,"<div>
			 

<p>A: If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment. One way to make a difference during a public health emergency is to donate blood if you are able. </p>
<ul><li>AABB: <a href=""http://www.aabb.org/Pages/default.aspx"">www.aabb.org</a>; +1.301.907.6977</li>
<li>America’s Blood Centers: <a href=""https://americasblood.org/"">www.americasblood.org</a></li>
<li>American Red Cross: <a href=""https://www.redcrossblood.org/"">www.redcrossblood.org</a>; +1.800.RED CROSS (+1.800.733.2767)</li>
<li>Armed Services Blood Program: <a href=""https://www.militaryblood.dod.mil/"">www.militaryblood.dod.mil</a>; +1.703.681.8024</li>
</ul><p>
</p></div>"
"Q: Can COVID-19 be transmitted through human cells, tissues, or cellular and tissue-based products (HCT/Ps)?","<div>
<p>A: Respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue-based products (HCT/Ps). The potential for transmission of COVID-19 by HCT/Ps is unknown at this time. There have been no reported cases of transmission of COVID-19 via HCT/Ps.</p>
<p>Routine screening measures are already in place for evaluating clinical evidence of infection in HCT/P donors. <a href=""/vaccines-blood-biologics/safety-availability-biologics/important-information-human-cell-tissue-or-cellular-or-tissue-based-product-hctp-establishments"">Read more…</a></p>
<p>
</p></div>"
Q: What is convalescent plasma and why is it being investigated to treat COVID-19?,"<div>
<p>A: Convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel coronavirus disease, COVID-19, caused by the virus SARS-CoV-2. COVID-19 patients develop antibodies in the blood against the virus. Antibodies are proteins  that might help fight the infection. Convalescent plasma is being investigated for the treatment of COVID-19 because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from COVID-19. Further investigation is still necessary to determine if convalescent plasma might shorten the duration of illness, reduce morbidity, or prevent death associated with COVID-19.</p>
<p>
</p></div>"
"Q: I recently recovered from COVID-19, can I donate convalescent plasma? ","<div>
			   

<p>A: COVID-19 convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. Individuals must have had a prior diagnosis of COVID-19 documented by a laboratory test and meet other laboratory criteria. Individuals must have fully recovered from COVID-19, with complete resolution of symptoms for at least 14 days before donation of convalescent plasma. You can ask your local blood center if there are options to donate convalescent plasma in your area. FDA included contact information for blood organizations in its March 19, 2020 <a href=""/news-events/press-announcements/coronavirus-covid-19-update-blood-donations"">statement on blood donations</a>.</p>
<p>
</p></div>"
Q: Are there any FDA-approved drug products or medicines to treat COVID-19?,"<div>
<p>A: At this time, there are no FDA-approved drug products to treat COVID-19. <a href=""https://reaganudall.org/covid-19"">The FDA is working with drug manufacturers and investigational new drug sponsors to expedite the development and availability of COVID-19 treatments</a>. <a href=""/drugs/coronavirus-covid-19-drugs/coronavirus-treatment-acceleration-program-ctap"">Read more</a> about FDA’s actions to address the novel coronavirus with medical countermeasures.</p>
<p>Researchers are studying new drugs and drugs that are already approved for other health conditions as possible treatments for COVID-19. CDC has <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/therapeutic-options.html"">more information for health care providers</a> about these potential treatments.</p>
<p>
</p></div>"
Q: Are antibiotics effective in preventing or treating COVID-19?,"<div>
<p>A: No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat coronavirus disease (COVID-19), because COVID-19 is caused by a virus, not bacteria. Some patients with COVID-19 may also develop a bacterial infection, such as pneumonia. In that case, a health care professional may treat the bacterial infection with an antibiotic.</p>
<p>
</p></div>"
Q. Will Miracle Mineral Solution (MMS) cure COVID-19?,"<div>
<p>A:  No. Miracle Mineral Solution does not cure COVID-19 and has not been approved by the FDA for any use. The solution, when mixed, develops into a dangerous bleach which has caused serious and potentially life-threatening side effects. For more information, see: <a href=""/news-events/press-announcements/fda-warns-consumers-about-dangerous-and-potentially-life-threatening-side-effects-miracle-mineral"">FDA warns consumers about the dangerous and potentially life threatening side effects of Miracle Mineral Solution</a> and <a href=""/consumers/consumer-updates/danger-dont-drink-miracle-mineral-solution-or-similar-products"">Danger: Don’t Drink Miracle Mineral Solution or Similar Products</a>. </p>
<p>
</p></div>"
Q: Are chloroquine phosphate or hydroxychloroquine sulfate approved by the FDA to treat COVID-19?,"<div>
<p>A: No. Hydroxychloroquine sulfate and some versions of chloroquine phosphate are FDA-approved to treat malaria. Hydroxychloroquine sulfate is also FDA-approved to treat lupus and rheumatoid arthritis. <a href=""/media/136784/download"">Read more about the emergency use authorization for chloroquine phosphate and hydroxychloroquine sulfate for COVID-19</a>.</p>
<p>
</p></div>"
Q: May health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off-label to treat patients with COVID-19?,"<div>
<p>A: As mentioned above, chloroquine phosphate is only approved for the treatment of malaria, and hydroxychloroquine sulfate is only approved for the treatment of malaria, lupus, and rheumatoid arthritis. Once FDA has approved a drug, healthcare providers generally may prescribe or administer the drug for an unapproved use, including in clinical settings not described in the approved labeling. This decision will be based on their assessment of the potential benefits versus the risks for their patient, recognizing that FDA has not assessed the safety or effectiveness of such use.</p>
<p>
</p></div>"
Q: Are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with COVID-19?,"<div>
<p>A: In the lab, these drugs have been shown to prevent the growth of the virus that causes COVID-19. There are a few reports of patients with COVID-19 who received these drugs and improved. Some are reports of groups of patients, all of whom received the drug. It is not known whether it was the drug that led to the improvement or whether there were other factors involved. We do not know if the treated patients’ condition would have improved without the drug. To know this, there would have to be a group of similar patients who did not receive the drug (control).</p>
<p>Because chloroquine phosphate and hydroxychloroquine may possibly help very sick patients, FDA is allowing these drugs to be provided to certain hospitalized patients under an <a href=""https://www.fda.gov/emergency-preparedness-and-response/mcm-legal-regulatory-and-policy-framework/emergency-use-authorization#covidtherapeutics"">Emergency Use Authorization (EUA) issued March 28, 2020</a>.  Under the EUA, health care providers and patients are provided with information about the risks of these drugs. However, more data from clinical trials are necessary for us to determine whether chloroquine phosphate or hydroxychloroquine sulfate are safe and effective in treating or preventing COVID-19.</p>
<p>
</p></div>"
Q. Is the chloroquine phosphate used to treat disease in aquarium fish the same as the chloroquine phosphate that FDA has issued an emergency use authorization for as a COVID-19 treatment for humans?,"<div>
<p>A. No. Products marketed for veterinary use, “for research only,” or otherwise not for human consumption have not been evaluated for safety or effectiveness and <strong>should never be used by humans</strong>. FDA is aware that chloroquine phosphate is marketed to treat disease in aquarium fish, but these products have not been evaluated by FDA to determine if they are safe, effective, properly manufactured, and adequately labeled. The agency continues to work with online marketplaces to remove these items, and many have been removed based on these efforts. Patients should not take any form of chloroquine unless it has been prescribed by a licensed health care provider. Chloroquine products also should not be given to pets or livestock unless prescribed by a veterinarian. </p>
<p>
</p></div>"
Q: Should I take ivermectin to prevent or treat COVID-19?,"<div>
<p>A: No. While there are approved uses for ivermectin in people and animals, it is not approved for the prevention or treatment of COVID-19. You should not take any medicine to treat or prevent COVID-19 unless it has been prescribed to you by your health care provider and acquired from a legitimate source. </p>
<p>A recently released <a href=""https://www.sciencedirect.com/science/article/pii/S0166354220302011"">research article</a> described the effect of ivermectin on SARS-CoV-2 in a laboratory setting. These types of laboratory studies are commonly used at an early stage of drug development. Additional testing is needed to determine whether ivermectin might be appropriate to prevent or treat coronavirus or COVID-19. <a href=""/animal-veterinary/product-safety-information/faq-covid-19-and-ivermectin-intended-animals"">Read more about ivermectin</a>.</p>
<p>
</p></div>"
Q: What is the FDA doing to protect people from fraudulent COVID-19 products?,"<div>
<p>A: We have established a cross-agency task force dedicated to closely monitoring for fraudulent COVID-19 products. We have reached out to major retailers to ask for their help in monitoring online marketplaces for fraudulent COVID-19 products. Products sold are subject to FDA investigation and potential enforcement action if they claim to prevent, diagnose, treat, or cure COVID-19 and have not demonstrated safety and effectiveness for that intended use. The task force has already worked with retailers to remove dozens of these types of product listings online. </p>
<p>The FDA and the Federal Trade Commission (FTC) issue warning letters to companies that violate federal law and pose significant risks to patient health by selling unapproved products with fraudulent claims to treat or prevent COVID-19. <a href=""https://www.fda.gov/consumers/health-fraud-scams/fraudulent-coronavirus-disease-2019-covid-19-products#Warning%20Letter%20Table"">View the warning letters</a> for more information.</p>
<p>
</p></div>"
Q: Are there going to be drug shortages due to drug manufacturer facility closures in China?,"<div>
<p>A:  The FDA has been closely monitoring the supply chain with the expectation that the COVID-19 outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the U.S. </p>
<p>We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly and mitigate the impact to U.S. patients and health care professionals when a potential disruption or shortage is identified.</p>
<p>Find <a href=""https://www.accessdata.fda.gov/scripts/drugshortages/default.cfm"">real-time information</a> about drug shortages.</p>
<p>Learn more in our <a href=""/drugs/drug-shortages/frequently-asked-questions-about-drug-shortages"">drug shortages frequently asked questions</a>. </p>
<p>
</p></div>"
Q:  Am I at risk for COVID-19 from taking FDA-approved drugs made in China?,"<div>
<p>A: Currently, there is no evidence to support transmission of COVID-19 associated with imported goods, including food and drugs for humans and pets. There have not been any cases of COVID-19 in the United States associated with imported goods.</p>
<p>
</p></div>"
Q: Who should I contact with drug-related questions?,"<div>
<p>A: If you have additional questions, call FDA’s Division of Drug Information at (855) 543-3784 or email us at <a href=""mailto:druginfo@fda.hhs.gov"">druginfo@fda.hhs.gov</a>. </p>
<p>
</p></div>"
Q: Is there a test for COVID-19?,"<div>
<p>A: Currently there is no FDA-approved or cleared test to diagnose or detect COVID-19 because the virus that causes COVID-19 is new. Therefore, the FDA has issued several Emergency Use Authorizations (EUAs) for the use of new diagnostic tests to detect the SARS-CoV-2 virus, which causes COVID-19. During public health emergencies declared under section 564 of the FD&amp;C Act, the FDA is able to issue EUAs when certain criteria are met that allows for the use and distribution of potentially life-saving medical products to diagnose, treat, or prevent the disease, which can include diagnostic tests.</p>
<p>
</p></div>"
Q. How are people tested for COVID-19?,"<div>
<p>A. To be tested for COVID-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals. Currently, a health care professional swabbing the back of the nasal cavity through the nostril is the preferred choice. Alternatively, the health care professional could may swab the back of your throat, or for patients with symptoms of COVID-19 the sample could may be collected by swabbing the inside of the front of the nose. Depending on, among other things, the type of swab used, a health care professional may collect the sample, or you may be able to collect the sample yourself at the collection site under the supervision of health care personnel.</p>
<p>
</p></div>"
Q: Are there any tests that I can purchase to test myself at home for COVID-19?,"<div>
<p>A: At this time, the FDA has not authorized any test that is available to purchase for testing yourself at home for COVID-19. The FDA sees the public health value in expanding the availability of COVID-19 testing through safe and accurate tests that may include home collection, and we are actively working with test developers on this goal. You can find <a href=""https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-2#offeringtests"">listings of tests</a> that have received an Emergency Use Authorization (EUA) as well as labs and manufacturers that have notified FDA as set forth in the FDA's <a href=""/regulatory-information/search-fda-guidance-documents/policy-diagnostic-tests-coronavirus-disease-2019-during-public-health-emergency"">Policy for Diagnostic Tests for Coronavirus Disease-2019</a>.</p>
<p>
</p></div>"
Q: When will other diagnostic tests for COVID-19 be authorized?,"<div>
<p>A: More than 100 companies have requested and received the FDA-developed Emergency Use Authorization (EUA) template for diagnostics for this outbreak. This template will help to expedite the development and authorization of other diagnostic products under EUAs. <a href=""/medical-devices/emergency-situations-medical-devices/emergency-use-authorizations"">The templates for these diagnostic testing EUA submissions</a> are now available on our website. <em>If you need additional information, please refer to the <a href=""/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-2"">FAQs on Diagnostic Testing for SARS-CoV-2</a></em>.</p>
<p>
</p></div>"
Q: Should I purchase personal protective equipment such as facemasks or N95 respirators for me and my family? ,"<div>
<p>A: No. <a href=""/medical-devices/personal-protective-equipment-infection-control/n95-respirators-and-surgical-masks-face-masks"">Surgical masks and N95s</a> need to be reserved for use by healthcare workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19. The cloth face coverings recommended by CDC are not surgical masks or N95 respirators. Surgical masks and N95s  are critical supplies that must continue to be reserved for healthcare workers and other medical first responders, as recommended by CDC.</p>
<p>
</p></div>"
"Q: Is there a shortage of personal protective equipment (PPE) such as gloves, masks, and N95 respirators or of ventilators?","<div>
<p>A:  The FDA has been working closely with PPE and ventilator manufacturers to understand their supply capabilities during this pandemic. The agency is also aware of challenges throughout the supply chain that are presently impacting the availability of PPE products and is taking steps to mitigate shortages that health care facilities are already experiencing. </p>
<p>The FDA <a href=""/news-events/press-announcements/coronavirus-covid-19-update-fda-continues-facilitate-access-crucial-medical-products-including"">issued new guidance</a> to give ventilator manufacturers and non-medical device manufacturers more flexibility to start making new ventilators and parts. We <a href=""/news-events/press-announcements/coronavirus-covid-19-update-fda-takes-action-increase-us-supplies-through-instructions-ppe-and"">adjusted our screening of PPE  and medical devices</a> at U.S. ports of entry to expedite imports of legitimate products into the U.S. With CDC we <a href=""/news-events/press-announcements/coronavirus-covid-19-update-fda-and-cdc-take-action-increase-access-respirators-including-n95s"">took action</a> to make more respirators, including certain N95s, available to health care personnel for use in health care settings.</p>
<p>The FDA encourages manufacturers and healthcare facilities to report any supply disruptions to the device shortages mailbox at <a href=""mailto:deviceshortages@fda.hhs.gov"">deviceshortages@fda.hhs.gov</a>.<br><br/></br></p></div>"
Q. Can 3D printing be used to make PPE?,"<div>
<p>A. Personal protective equipment (PPE) includes protective clothing, gowns, gloves, face shields, goggles, face masks, and respirators or other equipment designed to protect the wearer from injury or the spread of infection or illness. While it is possible to use 3D printing to make certain PPE, there are technical challenges. 3D-printed PPE may provide a physical barrier, but 3D-printed PPE are unlikely to provide the same fluid barrier and air filtration protection as FDA-cleared surgical masks and N95 respirators. The CDC has recommendations for how to <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/ppe-strategy/face-masks.html"">optimize the supply of face masks</a>. Find more information in the <a href=""/medical-devices/3d-printing-medical-devices/faqs-3d-printing-medical-devices-accessories-components-and-parts-during-covid-19-pandemic"">FDA guidance</a>.</p>
<p>
</p></div>"
Q. I built a DIY ventilator using instructions I found on the internet. May I sell it?,"<div>
<p>A. DIY ventilator makers may request that their product be added to the  Emergency Use Authorization (EUA) that FDA issued on March 24, 2020, to legally market the product in the U.S. Instructions on how to do so, and the criteria for ventilator safety, performance and labeling, may be found in the <a href=""https://www.fda.gov/medical-devices/emergency-situations-medical-devices/emergency-use-authorizations#covid19ventilators"">Letter of Authorization and Appendix A for the EUA</a> related to ventilators, anesthesia gas machines modified for use as ventilators, positive pressure breathing devices modified for use as ventilators, ventilator tubing connectors, and ventilator accessories.</p>
<p>
</p></div>"
Q: Who should I contact if I have questions about medical devices or need more information?,"<div>
<p>A: Please contact the FDA’s Center for Devices and Radiological Health (CDRH)’s Division of Industry and Consumer Education (DICE) for <a href=""/medical-devices/device-advice-comprehensive-regulatory-assistance/contact-us-division-industry-and-consumer-education-dice"">general questions and information</a>.</p>
<p>If you need additional information completing the diagnostic EUA template or wish to consider use of an alternative specimen type, please contact the Division of Microbiology Devices at (301) 348-1778 or email <a href=""mailto:CDRH-EUA-Templates@fda.hhs.gov"">CDRH-EUA-Templates@fda.hhs.gov</a>.</p>
<p>If you have questions about the EUA for personal respiratory protective devices, including N95 respirators, please email <a href=""mailto:CDRH-NonDiagnosticEUA-Templates@fda.hhs.gov"">CDRH-NonDiagnosticEUA-Templates@fda.hhs.gov</a>.</p>
<p>
</p></div>"
Q: Will there be food shortages?,"<div>
<p>A: There are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Food production and manufacturing are widely dispersed throughout the U.S. and there are currently no widespread disruptions reported in the supply chain. </p>
<p>FDA is closely monitoring the food supply chain for any shortages in collaboration with industry and our federal and state partners. We are in regular contact with food manufacturers and grocery stores.</p>
<p>
</p></div>"
Q: Will there be animal food shortages?,"<div>
<p>A: There are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Animal food production and manufacturing are widely dispersed throughout the United States and no widespread disruptions have been reported in the supply chain.</p>
<p>
</p></div>"
Q: What are the most important things I need to know to keep myself and others safe when I go to the grocery store during the pandemic?,"<div>
<p>A: There are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket. Read more tips in <a href=""/food/food-safety-during-emergencies/shopping-food-during-covid-19-pandemic-information-consumers"">Shopping for Food During the COVID-19 Pandemic - Information for Consumers</a>.</p>
<p>
</p></div>"
Q: Are food products produced in the United States or other countries affected by COVID-19 a risk for the spread of COVID-19?,"<div>
<p>A: There is no evidence to suggest that food produced in the United States or imported from countries affected by COVID-19 can transmit COVID-19.</p>
<p>
</p></div>"
"Q: Can I get the coronavirus from food, food packaging, or food containers and preparation area?","<div>
<p>A: Currently there is no evidence of food, food containers, or food packaging being associated with transmission of COVID-19.  Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. For that reason, it is critical to follow the 4 key steps of food safety—<a href=""https://www.foodsafety.gov/keep-food-safe/4-steps-to-food-safety"">clean, separate, cook, and chill</a>. </p>
<p>If you are concerned about contamination of food or food packaging, wash your hands after handling food packaging, after removing food from the packaging, before you prepare food for eating and before you eat. Consumers can follow <a href=""https://www.cdc.gov/handwashing/"">CDC guidelines on frequent hand washing</a> with soap and water for at least 20 seconds; and frequent cleaning and disinfecting of surfaces.</p>
<p>
</p></div>"
Q:  Is the U.S. food supply safe?,"<div>
<p>A: Currently there is no evidence of food or food packaging being associated with transmission of COVID-19.   </p>
<p>Unlike foodborne gastrointestinal (GI) viruses like norovirus and hepatitis A that often make people ill through contaminated food, SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness and not gastrointestinal illness, and foodborne exposure to this virus is not known to be a route of transmission.</p>
<p>It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. That’s why it’s always critical to follow the 4 key steps of food safety—<a href=""https://www.foodsafety.gov/keep-food-safe/4-steps-to-food-safety"">clean, separate, cook, and chill</a>.</p>
<p>
</p></div>"
Q: Is the U.S. animal food supply safe?,"<div>
<p>A: Currently there is no evidence of animal food or food packaging being associated with transmission of COVID-19.</p>
<p>SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness. Foodborne exposure to this virus is not known to be a route of transmission.</p>
<p>
</p></div>"
Q: Can I get COVID-19 from a food worker handling my food?,"<div>
<p>A: Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. </p>
<p>Anyone handling, preparing and serving food should always follow <a href=""/food/buy-store-serve-safe-food/safe-food-handling"">safe food handling procedures</a>, such as washing hands and surfaces often.</p>
<p>
</p></div>"
